BUYER_STATE,BUYER_COUNTY,MONTH,MME
CO,FREMONT,7,10969.56000000013
CO,FREMONT,8,10888.840000000127
CO,FREMONT,9,11169.370000000143
CO,FREMONT,10,11439.81000000013
CO,FREMONT,11,11232.900000000109
CO,FREMONT,12,11559.830000000115
CO,GARFIELD,1,9900.490000000153
CO,GARFIELD,2,8235.980000000023
CO,GARFIELD,3,10281.410000000204
CO,GARFIELD,4,8829.470000000048
CO,GARFIELD,5,9613.170000000115
CO,GARFIELD,6,9695.440000000173
CO,GARFIELD,7,9921.540000000161
CO,GARFIELD,8,9737.300000000165
CO,GARFIELD,9,9994.930000000175
CO,GARFIELD,10,10262.6500000002
CO,GARFIELD,11,9532.700000000103
CO,GARFIELD,12,9763.460000000145
CO,GILPIN,1,266.47
CO,GILPIN,2,361.6699999999998
CO,GILPIN,3,491.43999999999977
CO,GILPIN,4,469.68999999999994
CO,GILPIN,5,397.3899999999997
CO,GILPIN,6,499.8299999999998
CO,GILPIN,7,428.1699999999999
CO,GILPIN,8,441.7099999999999
CO,GILPIN,9,366.4
CO,GILPIN,10,494.97999999999973
CO,GILPIN,11,355.7699999999999
CO,GILPIN,12,484.32999999999987
CO,GRAND,1,2025.7599999999948
CO,GRAND,2,1636.2599999999984
CO,GRAND,3,2160.1800000000017
CO,GRAND,4,1600.4099999999992
CO,GRAND,5,1539.8000000000015
CO,GRAND,6,1639.9200000000005
CO,GRAND,7,1722.4799999999977
CO,GRAND,8,1746.6899999999985
CO,GRAND,9,1663.4199999999987
CO,GRAND,10,1841.5399999999988
CO,GRAND,11,1462.4599999999984
CO,GRAND,12,1473.399999999998
CO,GUNNISON,1,1495.1400000000003
CO,GUNNISON,2,1426.9700000000028
CO,GUNNISON,3,1560.4300000000023
CO,GUNNISON,4,1189.200000000002
CO,GUNNISON,5,1440.8800000000017
CO,GUNNISON,6,1684.8700000000028
CO,GUNNISON,7,1621.9499999999996
CO,GUNNISON,8,1619.3500000000004
CO,GUNNISON,9,1565.6300000000033
CO,GUNNISON,10,1539.8800000000022
CO,GUNNISON,11,1559.4500000000032
CO,GUNNISON,12,1527.760000000003
CO,HINSDALE,1,1.36
CO,HINSDALE,2,1.3599999999999999
CO,HINSDALE,3,0.61
CO,HINSDALE,4,0.91
CO,HINSDALE,5,1.82
CO,HINSDALE,7,6.23
CO,HINSDALE,8,6.51
CO,HINSDALE,9,4.25
CO,HINSDALE,10,0.61
CO,HUERFANO,1,1488.9799999999955
CO,HUERFANO,2,1307.989999999996
CO,HUERFANO,3,1594.909999999996
CO,HUERFANO,4,1274.5299999999963
CO,HUERFANO,5,1338.3699999999972
CO,HUERFANO,6,1539.519999999994
CO,HUERFANO,7,1632.869999999995
CO,HUERFANO,8,1633.729999999995
CO,HUERFANO,9,1566.0399999999963
CO,HUERFANO,10,1628.2099999999955
CO,HUERFANO,11,1564.709999999996
CO,HUERFANO,12,1643.1399999999949
CO,JEFFERSON,1,113268.0199999972
CO,JEFFERSON,2,109385.96999999732
CO,JEFFERSON,3,122837.16999999668
CO,JEFFERSON,4,116850.43999999775
CO,JEFFERSON,5,120659.90999999855
CO,JEFFERSON,6,123445.03999999836
CO,JEFFERSON,7,122662.52999999838
CO,JEFFERSON,8,124951.69999999784
CO,JEFFERSON,9,122125.3899999979
CO,JEFFERSON,10,128850.85999999897
CO,JEFFERSON,11,124740.85999999792
CO,JEFFERSON,12,125356.37999999929
CO,KIOWA,1,269.7800000000001
CO,KIOWA,2,281.17999999999984
CO,KIOWA,3,308.3899999999999
CO,KIOWA,4,208.53
CO,KIOWA,5,299.09999999999997
CO,KIOWA,6,269.37000000000006
CO,KIOWA,7,247.35999999999993
CO,KIOWA,8,227.3700000000001
CO,KIOWA,9,265.62000000000006
CO,KIOWA,10,254.28999999999988
CO,KIOWA,11,246.42999999999995
CO,KIOWA,12,273.36999999999983
CO,KIT CARSON,1,398.59999999999974
CO,KIT CARSON,2,366.71
CO,KIT CARSON,3,455.28999999999985
CO,KIT CARSON,4,341.96000000000015
CO,KIT CARSON,5,445.61999999999966
CO,KIT CARSON,6,426.3899999999999
CO,KIT CARSON,7,473.5899999999999
CO,KIT CARSON,8,462.2299999999996
CO,KIT CARSON,9,429.6399999999997
CO,KIT CARSON,10,481.52999999999975
CO,KIT CARSON,11,445.23999999999984
CO,KIT CARSON,12,366.42
CO,LA PLATA,1,5603.700000000044
CO,LA PLATA,2,5251.410000000043
CO,LA PLATA,3,5894.200000000035
CO,LA PLATA,4,5351.2700000000395
CO,LA PLATA,5,5676.420000000037
CO,LA PLATA,6,5961.370000000029
CO,LA PLATA,7,6139.780000000036
CO,LA PLATA,8,5956.060000000044
CO,LA PLATA,9,5847.2800000000325
